Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [2][ 80/112]	L_Src_Sup 1.9701e-01 (2.6032e-01)	L_Trg_Inj 1.2966e-02 (8.2787e-02)	Loss Disc 6.9142e-01 (6.9272e-01)	Loss Pred 1.0425e+00 (1.0819e+00)	Loss TOTAL 1.5933e+00 (1.6486e+00)
Epoch: [2][ 90/112]	L_Src_Sup 4.7936e-01 (2.5780e-01)	L_Trg_Inj 1.9100e-02 (7.5579e-02)	Loss Disc 6.9030e-01 (6.9250e-01)	Loss Pred 1.0281e+00 (1.0763e+00)	Loss TOTAL 1.8834e+00 (1.6457e+00)
Epoch: [2][100/112]	L_Src_Sup 6.2220e-01 (2.5661e-01)	L_Trg_Inj 3.2129e-02 (7.0384e-02)	Loss Disc 6.8559e-01 (6.9208e-01)	Loss Pred 1.0140e+00 (1.0704e+00)	Loss TOTAL 2.0123e+00 (1.6425e+00)
Epoch: [2][110/112]	L_Src_Sup 0.0000e+00 (2.5202e-01)	L_Trg_Inj 1.8129e-02 (6.5614e-02)	Loss Disc 6.8092e-01 (6.9120e-01)	Loss Pred 1.0048e+00 (1.0647e+00)	Loss TOTAL 1.3471e+00 (1.6351e+00)
Epoch: [2][112/112]	L_Src_Sup 5.6014e-02 (2.4986e-01)	L_Trg_Inj 4.8633e-03 (6.4486e-02)	Loss Disc 6.8182e-01 (6.9105e-01)	Loss Pred 1.0006e+00 (1.0636e+00)	Loss TOTAL 1.3988e+00 (1.6324e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/112]	L_Src_Sup 2.8330e-01 (2.4932e-01)	L_Trg_Inj 1.4280e-02 (5.4062e-03)	Loss Disc 6.8312e-01 (6.8532e-01)	Loss Pred 9.9107e-01 (9.9503e-01)	Loss TOTAL 1.6314e+00 (1.6071e+00)
Epoch: [3][ 20/112]	L_Src_Sup 2.0423e-01 (2.3070e-01)	L_Trg_Inj 1.1579e-02 (8.5866e-03)	Loss Disc 6.9051e-01 (6.8656e-01)	Loss Pred 9.8069e-01 (9.9044e-01)	Loss TOTAL 1.5402e+00 (1.5804e+00)
Epoch: [3][ 30/112]	L_Src_Sup 4.0065e-01 (2.2922e-01)	L_Trg_Inj 8.3435e-03 (8.5356e-03)	Loss Disc 6.9144e-01 (6.8793e-01)	Loss Pred 9.6895e-01 (9.8527e-01)	Loss TOTAL 1.7479e+00 (1.5741e+00)
Epoch: [3][ 40/112]	L_Src_Sup 1.6842e+00 (3.0811e-01)	L_Trg_Inj 1.7291e+00 (9.5527e-02)	Loss Disc 6.9292e-01 (6.8872e-01)	Loss Pred 9.7642e-01 (9.8132e-01)	Loss TOTAL 1.6642e+00 (1.5801e+00)
Epoch: [3][ 50/112]	L_Src_Sup 1.5995e-01 (3.1719e-01)	L_Trg_Inj 5.2059e-02 (1.2565e-01)	Loss Disc 6.8893e-01 (6.9024e-01)	Loss Pred 9.6110e-01 (9.7819e-01)	Loss TOTAL 1.4347e+00 (1.5624e+00)
Epoch: [3][ 60/112]	L_Src_Sup 2.7886e-01 (3.0623e-01)	L_Trg_Inj 1.3663e-01 (1.1497e-01)	Loss Disc 6.8848e-01 (6.9020e-01)	Loss Pred 9.5187e-01 (9.7470e-01)	Loss TOTAL 1.4799e+00 (1.5559e+00)
Epoch: [3][ 70/112]	L_Src_Sup 1.9626e+00 (4.5351e-01)	L_Trg_Inj 1.9458e+00 (2.6871e-01)	Loss Disc 6.9275e-01 (6.9058e-01)	Loss Pred 9.5579e-01 (9.7191e-01)	Loss TOTAL 1.7098e+00 (1.5766e+00)
Epoch: [3][ 80/112]	L_Src_Sup 1.9276e+00 (6.4004e-01)	L_Trg_Inj 1.9259e+00 (4.7745e-01)	Loss Disc 6.9287e-01 (6.9085e-01)	Loss Pred 9.3668e-01 (9.6790e-01)	Loss TOTAL 1.6702e+00 (1.5899e+00)
Epoch: [3][ 90/112]	L_Src_Sup 1.4032e+00 (7.6922e-01)	L_Trg_Inj 1.4771e+00 (6.2381e-01)	Loss Disc 6.9290e-01 (6.9107e-01)	Loss Pred 9.1531e-01 (9.6329e-01)	Loss TOTAL 1.5498e+00 (1.5964e+00)
