Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.442593226780509, std[0]=1.2340775789629297)
Loading Target Train...
Epoch: [2][ 90/112]	L_Src_Sup 1.2488e-01 (2.1269e-01)	L_Trg_Inj 5.2770e-01 (4.8526e-01)	Loss Disc 6.8465e-01 (6.8548e-01)	Loss Pred 1.0357e+00 (1.0960e+00)	Loss TOTAL 1.4433e+00 (1.5159e+00)
Epoch: [2][100/112]	L_Src_Sup 2.3501e-01 (2.1164e-01)	L_Trg_Inj 4.4900e-01 (4.8802e-01)	Loss Disc 6.8791e-01 (6.8548e-01)	Loss Pred 1.0220e+00 (1.0892e+00)	Loss TOTAL 1.4343e+00 (1.5094e+00)
Epoch: [2][110/112]	L_Src_Sup 1.1756e-01 (2.0331e-01)	L_Trg_Inj 5.5628e-01 (4.9101e-01)	Loss Disc 6.8358e-01 (6.8543e-01)	Loss Pred 1.0092e+00 (1.0825e+00)	Loss TOTAL 1.4184e+00 (1.5015e+00)
Epoch: [2][112/112]	L_Src_Sup 3.5281e-01 (2.0283e-01)	L_Trg_Inj 5.7079e-01 (4.9256e-01)	Loss Disc 6.8269e-01 (6.8538e-01)	Loss Pred 1.0068e+00 (1.0812e+00)	Loss TOTAL 1.4405e+00 (1.5001e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/112]	L_Src_Sup 1.6672e-01 (2.4322e-01)	L_Trg_Inj 6.2178e-01 (4.8661e-01)	Loss Disc 6.8129e-01 (6.8591e-01)	Loss Pred 9.9498e-01 (1.0002e+00)	Loss TOTAL 1.4145e+00 (1.4162e+00)
Epoch: [3][ 20/112]	L_Src_Sup 1.5388e-01 (2.0941e-01)	L_Trg_Inj 4.7071e-01 (4.7164e-01)	Loss Disc 6.8194e-01 (6.8576e-01)	Loss Pred 9.8165e-01 (9.9403e-01)	Loss TOTAL 1.3851e+00 (1.4050e+00)
Epoch: [3][ 30/112]	L_Src_Sup 2.8562e-01 (2.3983e-01)	L_Trg_Inj 3.9993e-01 (4.9781e-01)	Loss Disc 6.8713e-01 (6.8508e-01)	Loss Pred 9.6979e-01 (9.8884e-01)	Loss TOTAL 1.3819e+00 (1.4094e+00)
Epoch: [3][ 40/112]	L_Src_Sup 0.0000e+00 (2.3077e-01)	L_Trg_Inj 5.7724e-01 (5.0426e-01)	Loss Disc 6.7895e-01 (6.8408e-01)	Loss Pred 9.5625e-01 (9.8207e-01)	Loss TOTAL 1.3535e+00 (1.4008e+00)
Epoch: [3][ 50/112]	L_Src_Sup 1.1099e-01 (2.3308e-01)	L_Trg_Inj 5.2040e-01 (5.0461e-01)	Loss Disc 6.8141e-01 (6.8361e-01)	Loss Pred 9.4662e-01 (9.7570e-01)	Loss TOTAL 1.3505e+00 (1.3941e+00)
