DateTime,hp_comp_1,lp_comp_1,comp_current_1,cond_current_1,fan_current_1,hp_comp_2,lp_comp_2,comp_current_2,cond_current_2,fan_current_2,return_air_temp,outdoor_temp,heater_temp,lp_plate_temp_1,lp_plate_temp_2,superheat_1,superheat_2,comp_start_1,cond_fan_start_1,fan_start_1,comp_start_2,cond_fan_start_2,fan_start_2,heater_start,EF1speed,EF2speed,label
2025-04-11 14:14:32,21.31,5.349999,2.8,0.7,5.5,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.1,28.8,-128.7,20.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:33,21.31,5.34,2.8,0.7,6.2,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.2,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:34,21.33,5.349999,2.8,0.7,5.6,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.2,28.8,-128.7,20.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:35,21.31,5.33,2.8,0.7,6.0,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.3,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:36,21.33,5.33,2.8,0.7,5.5,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.3,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:37,21.33,5.349999,2.8,0.7,6.4,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.3,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:38,21.34,5.34,2.8,0.7,6.1,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.3,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:39,21.33,5.349999,2.8,0.7,5.8,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.4,28.8,-128.7,20.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:40,21.31,5.34,2.8,0.7,5.9,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.4,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:41,21.31,5.349999,2.8,0.7,5.7,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.5,28.8,-128.7,20.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:42,21.33,5.349999,2.8,0.7,6.3,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.5,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:43,21.3,5.349999,2.8,0.7,5.5,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.6,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:44,21.31,5.349999,2.8,0.7,5.9,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.6,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:45,21.33,5.34,2.8,0.7,6.1,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.6,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:46,21.34,5.349999,2.8,0.7,6.2,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.6,28.8,-128.7,20.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:47,21.35,5.34,2.7,0.7,6.1,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.7,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:48,21.33,5.349999,2.8,0.7,6.1,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.8,28.8,-128.7,20.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:49,21.31,5.34,2.8,0.7,6.4,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.8,28.8,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:50,21.34,5.349999,2.8,0.7,6.1,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.8,28.9,-128.7,20.9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:51,21.33,5.349999,2.8,0.7,5.6,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.8,28.9,-128.7,20.9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:52,21.34,5.34,2.8,0.7,5.5,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.9,28.9,-128.7,20.9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:53,21.34,5.36,2.8,0.7,5.6,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.9,28.9,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:54,21.35,5.34,2.8,0.7,5.4,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.9,28.9,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:55,21.35,5.349999,2.8,0.7,5.3,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.9,28.9,-128.7,20.8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:56,21.35,5.34,2.8,0.7,5.6,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.9,28.9,-128.7,20.9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:57,21.34,5.34,2.8,0.7,6.2,0.0,0.0,0.0,0.0,0.0,27.9,34.0,18.9,28.9,-128.7,20.9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:58,21.33,5.34,2.8,0.7,5.9,0.0,0.0,0.0,0.0,0.0,27.9,34.0,19.0,28.9,-128.7,20.9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:14:59,21.35,5.34,2.8,0.7,6.1,0.0,0.0,0.0,0.0,0.0,27.9,34.0,19.0,28.9,-128.7,20.9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:15:00,21.33,5.349999,2.8,0.7,6.1,0.0,0.0,0.0,0.0,0.0,27.9,34.0,19.0,28.9,-128.7,20.9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,85.0,85.0,0
2025-04-11 14:19:00,21.2,5.29,2.8,0.7,5.2,0.0,0.0,0.0,0.0,0.0,27.9,33.9,16.4,28.2,-128.7,20.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,82.0,82.0,0
2025-04-11 14:19:01,21.2,5.3,2.8,0.7,4.7,0.0,0.0,0.0,0.0,0.0,27.9,33.9,16.4,28.2,-128.7,20.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,82.0,82.0,0
2025-04-11 14:19:02,21.19,5.29,2.8,0.7,4.8,0.0,0.0,0.0,0.0,0.0,27.9,33.9,16.4,28.2,-128.7,20.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,82.0,82.0,0
2025-04-11 14:19:03,21.2,5.3,2.8,0.7,5.1,0.0,0.0,0.0,0.0,0.0,27.9,33.9,16.4,28.2,-128.7,20.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,82.0,82.0,0
2025-04-11 14:19:04,21.2,5.29,2.8,0.7,4.7,0.0,0.0,0.0,0.0,0.0,27.9,33.9,16.4,28.2,-128.7,20.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,82.0,82.0,0
2025-04-11 14:19:05,21.19,5.3,2.8,0.7,4.8,0.0,0.0,0.0,0.0,0.0,27.9,33.9,16.4,28.2,-128.7,20.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,82.0,82.0,0
2025-04-11 14:19:06,21.2,5.29,2.8,0.7,5.1,0.0,0.0,0.0,0.0,0.0,27.9,33.9,16.4,28.2,-128.7,20.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,82.0,82.0,0
