Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.743648330487297, std[0]=0.9335744483783562)
Loading Target Train...
Epoch: [4][ 40/112]	L_Src_Sup 2.3407e-01 (1.9581e-01)	L_Trg_Inj 2.9678e-01 (2.8931e-01)	Loss Disc 6.9260e-01 (6.9128e-01)	Loss Pred 5.6117e-01 (5.7042e-01)	Loss TOTAL 9.6056e-01 (9.6678e-01)
Epoch: [4][ 50/112]	L_Src_Sup 1.7849e-01 (1.9146e-01)	L_Trg_Inj 2.9445e-01 (2.8963e-01)	Loss Disc 6.9238e-01 (6.9159e-01)	Loss Pred 5.5054e-01 (5.6697e-01)	Loss TOTAL 9.4403e-01 (9.6270e-01)
Epoch: [4][ 60/112]	L_Src_Sup 1.3200e-01 (1.9600e-01)	L_Trg_Inj 2.6516e-01 (2.9028e-01)	Loss Disc 6.9173e-01 (6.9176e-01)	Loss Pred 5.3616e-01 (5.6391e-01)	Loss TOTAL 9.2174e-01 (9.6296e-01)
Epoch: [4][ 70/112]	L_Src_Sup 2.6913e-01 (1.9866e-01)	L_Trg_Inj 2.9647e-01 (2.8914e-01)	Loss Disc 6.9427e-01 (6.9164e-01)	Loss Pred 5.1604e-01 (5.6008e-01)	Loss TOTAL 9.1973e-01 (9.5944e-01)
Epoch: [4][ 80/112]	L_Src_Sup 2.2117e-01 (2.0091e-01)	L_Trg_Inj 2.5036e-01 (2.8908e-01)	Loss Disc 6.9067e-01 (6.9155e-01)	Loss Pred 5.3981e-01 (5.5737e-01)	Loss TOTAL 9.3230e-01 (9.5719e-01)
Epoch: [4][ 90/112]	L_Src_Sup 2.1976e-01 (2.0662e-01)	L_Trg_Inj 2.6129e-01 (2.8869e-01)	Loss Disc 6.9198e-01 (6.9146e-01)	Loss Pred 5.3081e-01 (5.5302e-01)	Loss TOTAL 9.2491e-01 (9.5401e-01)
Epoch: [4][100/112]	L_Src_Sup 2.0886e-01 (2.0481e-01)	L_Trg_Inj 2.8149e-01 (2.9124e-01)	Loss Disc 6.9050e-01 (6.9135e-01)	Loss Pred 4.9211e-01 (5.4922e-01)	Loss TOTAL 8.8640e-01 (9.4996e-01)
Epoch: [4][110/112]	L_Src_Sup 2.2424e-01 (2.0405e-01)	L_Trg_Inj 3.1173e-01 (2.9252e-01)	Loss Disc 6.9133e-01 (6.9124e-01)	Loss Pred 4.7964e-01 (5.4610e-01)	Loss TOTAL 8.7890e-01 (9.4634e-01)
Epoch: [4][112/112]	L_Src_Sup 2.4574e-01 (2.0506e-01)	L_Trg_Inj 2.4981e-01 (2.9176e-01)	Loss Disc 6.9099e-01 (6.9124e-01)	Loss Pred 4.9087e-01 (5.4501e-01)	Loss TOTAL 8.8592e-01 (9.4541e-01)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/112]	L_Src_Sup 2.7678e-01 (1.9667e-01)	L_Trg_Inj 3.3979e-01 (2.8835e-01)	Loss Disc 6.9004e-01 (6.9104e-01)	Loss Pred 5.1438e-01 (5.0065e-01)	Loss TOTAL 9.2106e-01 (8.9693e-01)
Epoch: [5][ 20/112]	L_Src_Sup 1.4220e-01 (2.0323e-01)	L_Trg_Inj 2.0346e-01 (2.8202e-01)	Loss Disc 6.9270e-01 (6.9123e-01)	Loss Pred 4.8967e-01 (4.9990e-01)	Loss TOTAL 8.7059e-01 (8.9867e-01)
Epoch: [5][ 30/112]	L_Src_Sup 1.9176e-01 (1.9741e-01)	L_Trg_Inj 2.9672e-01 (2.8801e-01)	Loss Disc 6.9140e-01 (6.9122e-01)	Loss Pred 5.3778e-01 (4.9824e-01)	Loss TOTAL 9.3233e-01 (8.9620e-01)
Epoch: [5][ 40/112]	L_Src_Sup 1.2672e-01 (2.0408e-01)	L_Trg_Inj 2.9516e-01 (2.9042e-01)	Loss Disc 6.9213e-01 (6.9111e-01)	Loss Pred 4.9937e-01 (4.9724e-01)	Loss TOTAL 8.8762e-01 (8.9804e-01)
Epoch: [5][ 50/112]	L_Src_Sup 3.0367e-01 (2.0475e-01)	L_Trg_Inj 2.2235e-01 (2.9143e-01)	Loss Disc 6.9290e-01 (6.9120e-01)	Loss Pred 5.1482e-01 (4.9761e-01)	Loss TOTAL 9.9520e-01 (8.9916e-01)
Epoch: [5][ 60/112]	L_Src_Sup 2.1428e-01 (2.0602e-01)	L_Trg_Inj 2.9815e-01 (2.9436e-01)	Loss Disc 6.9015e-01 (6.9111e-01)	Loss Pred 4.7195e-01 (4.9890e-01)	Loss TOTAL 8.6827e-01 (9.0226e-01)
Epoch: [5][ 70/112]	L_Src_Sup 4.0121e-01 (2.0899e-01)	L_Trg_Inj 2.5056e-01 (2.9922e-01)	Loss Disc 6.9045e-01 (6.9078e-01)	Loss Pred 4.7449e-01 (4.9880e-01)	Loss TOTAL 1.0355e+00 (9.0382e-01)
Epoch: [5][ 80/112]	L_Src_Sup 2.8646e-01 (2.0897e-01)	L_Trg_Inj 2.5049e-01 (2.9707e-01)	Loss Disc 6.9120e-01 (6.9060e-01)	Loss Pred 4.9154e-01 (5.0004e-01)	Loss TOTAL 9.2680e-01 (9.0536e-01)
Epoch: [5][ 90/112]	L_Src_Sup 1.6268e-01 (2.0860e-01)	L_Trg_Inj 2.8212e-01 (2.9543e-01)	Loss Disc 6.8977e-01 (6.9060e-01)	Loss Pred 5.1603e-01 (4.9989e-01)	Loss TOTAL 9.0540e-01 (9.0471e-01)
Epoch: [5][100/112]	L_Src_Sup 1.9290e-01 (2.0735e-01)	L_Trg_Inj 2.9795e-01 (2.9521e-01)	Loss Disc 6.8860e-01 (6.9050e-01)	Loss Pred 4.7823e-01 (4.9999e-01)	Loss TOTAL 8.7161e-01 (9.0422e-01)
Epoch: [5][110/112]	L_Src_Sup 2.7491e-01 (2.0985e-01)	L_Trg_Inj 3.7601e-01 (2.9745e-01)	Loss Disc 6.8812e-01 (6.9043e-01)	Loss Pred 5.0828e-01 (4.9971e-01)	Loss TOTAL 9.1743e-01 (9.0393e-01)
Epoch: [5][112/112]	L_Src_Sup 1.6995e-01 (2.1071e-01)	L_Trg_Inj 2.6618e-01 (2.9675e-01)	Loss Disc 6.9058e-01 (6.9043e-01)	Loss Pred 5.2663e-01 (4.9965e-01)	Loss TOTAL 9.1553e-01 (9.0459e-01)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/112]	L_Src_Sup 2.5007e-01 (2.3267e-01)	L_Trg_Inj 2.1921e-01 (2.7104e-01)	Loss Disc 6.9141e-01 (6.9054e-01)	Loss Pred 4.9007e-01 (4.9647e-01)	Loss TOTAL 9.1355e-01 (9.0038e-01)
