Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.250739126206178, std[0]=0.4471005807248076)
Loading Target Train...
Epoch: [2][ 70/112]	L_Src_Sup 4.6099e-01 (2.5060e-01)	L_Trg_Inj 6.5421e-01 (5.2326e-01)	Loss Disc 6.6954e-01 (6.8351e-01)	Loss Pred 1.0792e+00 (1.1250e+00)	Loss TOTAL 1.5255e+00 (1.5571e+00)
Epoch: [2][ 80/112]	L_Src_Sup 4.3671e-01 (2.5354e-01)	L_Trg_Inj 4.3571e-01 (5.1706e-01)	Loss Disc 6.8771e-01 (6.8352e-01)	Loss Pred 1.0595e+00 (1.1180e+00)	Loss TOTAL 1.4916e+00 (1.5487e+00)
Epoch: [2][ 90/112]	L_Src_Sup 3.6479e-01 (2.4701e-01)	L_Trg_Inj 6.0493e-01 (5.3325e-01)	Loss Disc 6.7279e-01 (6.8295e-01)	Loss Pred 1.0551e+00 (1.1111e+00)	Loss TOTAL 1.4885e+00 (1.5412e+00)
Epoch: [2][100/112]	L_Src_Sup 2.4471e-01 (2.4638e-01)	L_Trg_Inj 5.0208e-01 (5.3648e-01)	Loss Disc 6.8342e-01 (6.8276e-01)	Loss Pred 1.0348e+00 (1.1043e+00)	Loss TOTAL 1.4512e+00 (1.5353e+00)
Epoch: [2][110/112]	L_Src_Sup 0.0000e+00 (2.4270e-01)	L_Trg_Inj 5.4314e-01 (5.3734e-01)	Loss Disc 6.7770e-01 (6.8273e-01)	Loss Pred 1.0226e+00 (1.0975e+00)	Loss TOTAL 1.4158e+00 (1.5273e+00)
Epoch: [2][112/112]	L_Src_Sup 1.2582e-01 (2.4188e-01)	L_Trg_Inj 2.7348e-01 (5.3501e-01)	Loss Disc 6.9446e-01 (6.8283e-01)	Loss Pred 1.0204e+00 (1.0961e+00)	Loss TOTAL 1.4075e+00 (1.5255e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/112]	L_Src_Sup 1.0077e-01 (1.3645e-01)	L_Trg_Inj 2.5015e-01 (4.0291e-01)	Loss Disc 6.8446e-01 (6.8385e-01)	Loss Pred 1.0075e+00 (1.0133e+00)	Loss TOTAL 1.3848e+00 (1.4091e+00)
Epoch: [3][ 20/112]	L_Src_Sup 4.0933e-01 (1.5156e-01)	L_Trg_Inj 3.9537e-01 (3.6548e-01)	Loss Disc 6.8298e-01 (6.8485e-01)	Loss Pred 9.9556e-01 (1.0069e+00)	Loss TOTAL 1.4315e+00 (1.4130e+00)
Epoch: [3][ 30/112]	L_Src_Sup 0.0000e+00 (1.4814e-01)	L_Trg_Inj 3.4057e-01 (3.9198e-01)	Loss Disc 6.8562e-01 (6.8488e-01)	Loss Pred 9.8367e-01 (1.0008e+00)	Loss TOTAL 1.3605e+00 (1.4074e+00)
Epoch: [3][ 40/112]	L_Src_Sup 0.0000e+00 (1.6327e-01)	L_Trg_Inj 5.4265e-01 (4.1858e-01)	Loss Disc 6.8037e-01 (6.8423e-01)	Loss Pred 9.7025e-01 (9.9467e-01)	Loss TOTAL 1.3647e+00 (1.4077e+00)
Epoch: [3][ 50/112]	L_Src_Sup 1.8422e-01 (1.7863e-01)	L_Trg_Inj 4.3406e-01 (4.2013e-01)	Loss Disc 6.8798e-01 (6.8462e-01)	Loss Pred 9.5679e-01 (9.8848e-01)	Loss TOTAL 1.3626e+00 (1.4041e+00)
Epoch: [3][ 60/112]	L_Src_Sup 3.6372e-01 (1.9951e-01)	L_Trg_Inj 4.2298e-01 (4.3122e-01)	Loss Disc 6.8660e-01 (6.8450e-01)	Loss Pred 9.4603e-01 (9.8271e-01)	Loss TOTAL 1.3680e+00 (1.4103e+00)
Epoch: [3][ 70/112]	L_Src_Sup 3.6384e-01 (1.9973e-01)	L_Trg_Inj 4.8440e-01 (4.3659e-01)	Loss Disc 6.8339e-01 (6.8423e-01)	Loss Pred 9.3248e-01 (9.7676e-01)	Loss TOTAL 1.3590e+00 (1.4016e+00)
Epoch: [3][ 80/112]	L_Src_Sup 1.2501e-01 (2.0168e-01)	L_Trg_Inj 5.4439e-01 (4.4254e-01)	Loss Disc 6.8161e-01 (6.8422e-01)	Loss Pred 9.2556e-01 (9.7120e-01)	Loss TOTAL 1.3333e+00 (1.3951e+00)
Epoch: [3][ 90/112]	L_Src_Sup 2.0039e-01 (1.9772e-01)	L_Trg_Inj 1.4152e-01 (4.3797e-01)	Loss Disc 6.8338e-01 (6.8429e-01)	Loss Pred 9.1984e-01 (9.6531e-01)	Loss TOTAL 1.3546e+00 (1.3871e+00)
Epoch: [3][100/112]	L_Src_Sup 2.8627e-01 (1.9240e-01)	L_Trg_Inj 4.2421e-01 (4.4005e-01)	Loss Disc 6.8170e-01 (6.8437e-01)	Loss Pred 9.0111e-01 (9.5963e-01)	Loss TOTAL 1.3130e+00 (1.3795e+00)
Epoch: [3][110/112]	L_Src_Sup 5.7276e-01 (1.9856e-01)	L_Trg_Inj 3.5160e-01 (4.3076e-01)	Loss Disc 6.8804e-01 (6.8470e-01)	Loss Pred 8.9023e-01 (9.5394e-01)	Loss TOTAL 1.5479e+00 (1.3761e+00)
Epoch: [3][112/112]	L_Src_Sup 1.3833e-01 (1.9845e-01)	L_Trg_Inj 4.5814e-01 (4.3087e-01)	Loss Disc 6.8507e-01 (6.8472e-01)	Loss Pred 8.9027e-01 (9.5283e-01)	Loss TOTAL 1.2925e+00 (1.3747e+00)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/112]	L_Src_Sup 5.5376e-01 (4.0777e-01)	L_Trg_Inj 2.7377e-01 (5.0598e-01)	Loss Disc 6.8965e-01 (6.8566e-01)	Loss Pred 8.8983e-01 (8.9144e-01)	Loss TOTAL 1.5974e+00 (1.3934e+00)
Epoch: [4][ 20/112]	L_Src_Sup 0.0000e+00 (3.0055e-01)	L_Trg_Inj 5.5301e-01 (4.9403e-01)	Loss Disc 6.8120e-01 (6.8487e-01)	Loss Pred 8.7140e-01 (8.8435e-01)	Loss TOTAL 1.2673e+00 (1.3460e+00)
Epoch: [4][ 30/112]	L_Src_Sup 0.0000e+00 (2.6550e-01)	L_Trg_Inj 6.3785e-01 (4.9046e-01)	Loss Disc 6.7334e-01 (6.8399e-01)	Loss Pred 8.6962e-01 (8.7857e-01)	Loss TOTAL 1.2701e+00 (1.3227e+00)
Epoch: [4][ 40/112]	L_Src_Sup 1.2549e-01 (2.5229e-01)	L_Trg_Inj 5.9019e-01 (4.8742e-01)	Loss Disc 6.7946e-01 (6.8425e-01)	Loss Pred 8.4980e-01 (8.7278e-01)	Loss TOTAL 1.2611e+00 (1.3135e+00)
