Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [2][100/112]	L_Src_Sup 2.8941e-01 (2.7779e-01)	L_Trg_Inj 3.9834e-01 (4.5501e-01)	Loss Disc 6.8450e-01 (6.8298e-01)	Loss Pred 1.0205e+00 (1.0863e+00)	Loss TOTAL 1.4315e+00 (1.5240e+00)
Epoch: [2][110/112]	L_Src_Sup 2.1201e-01 (2.7309e-01)	L_Trg_Inj 2.7735e-01 (4.4596e-01)	Loss Disc 6.8684e-01 (6.8317e-01)	Loss Pred 1.0068e+00 (1.0797e+00)	Loss TOTAL 1.3991e+00 (1.5147e+00)
Epoch: [2][112/112]	L_Src_Sup 0.0000e+00 (2.6932e-01)	L_Trg_Inj 3.3017e-01 (4.4397e-01)	Loss Disc 6.8550e-01 (6.8321e-01)	Loss Pred 1.0052e+00 (1.0783e+00)	Loss TOTAL 1.3810e+00 (1.5125e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/112]	L_Src_Sup 2.8430e-01 (2.8505e-01)	L_Trg_Inj 3.0469e-01 (2.6913e-01)	Loss Disc 6.8349e-01 (6.8971e-01)	Loss Pred 9.9869e-01 (1.0015e+00)	Loss TOTAL 1.3993e+00 (1.4519e+00)
Epoch: [3][ 20/112]	L_Src_Sup 1.1127e-01 (2.5062e-01)	L_Trg_Inj 4.4028e-01 (3.0463e-01)	Loss Disc 6.8542e-01 (6.8839e-01)	Loss Pred 9.8096e-01 (9.9451e-01)	Loss TOTAL 1.3788e+00 (1.4374e+00)
Epoch: [3][ 30/112]	L_Src_Sup 1.1777e-01 (2.2332e-01)	L_Trg_Inj 4.9891e-01 (3.6251e-01)	Loss Disc 6.8306e-01 (6.8743e-01)	Loss Pred 9.6890e-01 (9.8796e-01)	Loss TOTAL 1.3721e+00 (1.4192e+00)
Epoch: [3][ 40/112]	L_Src_Sup 1.9985e-01 (2.0618e-01)	L_Trg_Inj 3.5885e-01 (3.7842e-01)	Loss Disc 6.8647e-01 (6.8674e-01)	Loss Pred 9.5505e-01 (9.8170e-01)	Loss TOTAL 1.3541e+00 (1.4053e+00)
Epoch: [3][ 50/112]	L_Src_Sup 8.3094e-02 (2.1466e-01)	L_Trg_Inj 4.5199e-01 (3.8783e-01)	Loss Disc 6.8233e-01 (6.8674e-01)	Loss Pred 9.5108e-01 (9.7553e-01)	Loss TOTAL 1.3458e+00 (1.4032e+00)
Epoch: [3][ 60/112]	L_Src_Sup 2.5440e-01 (2.1736e-01)	L_Trg_Inj 3.4402e-01 (3.9052e-01)	Loss Disc 6.8974e-01 (6.8698e-01)	Loss Pred 9.3461e-01 (9.6951e-01)	Loss TOTAL 1.3393e+00 (1.3945e+00)
Epoch: [3][ 70/112]	L_Src_Sup 1.3300e-01 (2.1558e-01)	L_Trg_Inj 4.6043e-01 (3.9767e-01)	Loss Disc 6.8784e-01 (6.8702e-01)	Loss Pred 9.2270e-01 (9.6352e-01)	Loss TOTAL 1.3260e+00 (1.3872e+00)
Epoch: [3][ 80/112]	L_Src_Sup 0.0000e+00 (2.1833e-01)	L_Trg_Inj 5.9342e-01 (4.0176e-01)	Loss Disc 6.8357e-01 (6.8694e-01)	Loss Pred 9.0933e-01 (9.5783e-01)	Loss TOTAL 1.3105e+00 (1.3825e+00)
Epoch: [3][ 90/112]	L_Src_Sup 0.0000e+00 (2.1697e-01)	L_Trg_Inj 4.1588e-01 (4.0928e-01)	Loss Disc 6.8760e-01 (6.8689e-01)	Loss Pred 9.0234e-01 (9.5218e-01)	Loss TOTAL 1.2877e+00 (1.3762e+00)
Epoch: [3][100/112]	L_Src_Sup 2.2049e-01 (2.1579e-01)	L_Trg_Inj 4.1703e-01 (4.0857e-01)	Loss Disc 6.8807e-01 (6.8707e-01)	Loss Pred 8.8188e-01 (9.4659e-01)	Loss TOTAL 1.2897e+00 (1.3687e+00)
Epoch: [3][110/112]	L_Src_Sup 0.0000e+00 (2.1017e-01)	L_Trg_Inj 5.3384e-01 (4.0131e-01)	Loss Disc 6.8961e-01 (6.8734e-01)	Loss Pred 8.8334e-01 (9.4126e-01)	Loss TOTAL 1.2815e+00 (1.3616e+00)
Epoch: [3][112/112]	L_Src_Sup 3.3107e-01 (2.1032e-01)	L_Trg_Inj 6.3109e-01 (4.0376e-01)	Loss Disc 6.8663e-01 (6.8736e-01)	Loss Pred 8.7417e-01 (9.4018e-01)	Loss TOTAL 1.3137e+00 (1.3605e+00)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/112]	L_Src_Sup 1.1624e-01 (2.4761e-01)	L_Trg_Inj 4.5757e-01 (4.3294e-01)	Loss Disc 6.8664e-01 (6.8806e-01)	Loss Pred 8.7284e-01 (8.7391e-01)	Loss TOTAL 1.2735e+00 (1.3005e+00)
