Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.219199755650582, std[0]=1.4933710387550707)
Loading Target Train...
Epoch: [2][ 10/140]	L_Src_Sup 4.5029e-01 (2.3072e-01)	L_Trg_Inj 6.2205e-01 (3.7443e-01)	Loss Disc 6.8440e-01 (6.8719e-01)	Loss Pred 9.4535e-01 (8.5617e-01)	Loss TOTAL 1.3948e+00 (1.2638e+00)
Epoch: [2][ 20/140]	L_Src_Sup 2.2427e-01 (2.1071e-01)	L_Trg_Inj 2.3684e-01 (3.4169e-01)	Loss Disc 6.7312e-01 (6.8202e-01)	Loss Pred 9.2755e-01 (8.6211e-01)	Loss TOTAL 1.3102e+00 (1.2618e+00)
Epoch: [2][ 30/140]	L_Src_Sup 2.2511e-01 (2.1396e-01)	L_Trg_Inj 4.3374e-01 (3.4148e-01)	Loss Disc 6.7580e-01 (6.8105e-01)	Loss Pred 8.4387e-01 (8.5421e-01)	Loss TOTAL 1.2477e+00 (1.2532e+00)
Epoch: [2][ 40/140]	L_Src_Sup 2.4851e-01 (2.1642e-01)	L_Trg_Inj 2.7360e-01 (3.3458e-01)	Loss Disc 6.8249e-01 (6.8027e-01)	Loss Pred 8.5201e-01 (8.4907e-01)	Loss TOTAL 1.2455e+00 (1.2465e+00)
Epoch: [2][ 50/140]	L_Src_Sup 1.8394e-01 (2.0935e-01)	L_Trg_Inj 3.5466e-01 (3.2982e-01)	Loss Disc 6.8154e-01 (6.8088e-01)	Loss Pred 8.2921e-01 (8.4486e-01)	Loss TOTAL 1.2238e+00 (1.2422e+00)
Epoch: [2][ 60/140]	L_Src_Sup 2.1616e-01 (2.0671e-01)	L_Trg_Inj 2.4294e-01 (3.2406e-01)	Loss Disc 6.8847e-01 (6.8130e-01)	Loss Pred 7.8700e-01 (8.3968e-01)	Loss TOTAL 1.1771e+00 (1.2377e+00)
Epoch: [2][ 70/140]	L_Src_Sup 2.1724e-01 (2.0240e-01)	L_Trg_Inj 3.1995e-01 (3.2075e-01)	Loss Disc 6.9518e-01 (6.8285e-01)	Loss Pred 7.8700e-01 (8.3446e-01)	Loss TOTAL 1.1883e+00 (1.2322e+00)
Epoch: [2][ 80/140]	L_Src_Sup 2.9718e-01 (2.0916e-01)	L_Trg_Inj 3.2962e-01 (3.2061e-01)	Loss Disc 7.0098e-01 (6.8490e-01)	Loss Pred 7.8843e-01 (8.2776e-01)	Loss TOTAL 1.2016e+00 (1.2289e+00)
Epoch: [2][ 90/140]	L_Src_Sup 1.8736e-01 (2.1040e-01)	L_Trg_Inj 2.7110e-01 (3.1588e-01)	Loss Disc 6.9525e-01 (6.8629e-01)	Loss Pred 7.7953e-01 (8.2201e-01)	Loss TOTAL 1.1730e+00 (1.2240e+00)
Epoch: [2][100/140]	L_Src_Sup 2.8200e-01 (2.1124e-01)	L_Trg_Inj 2.9216e-01 (3.1307e-01)	Loss Disc 6.9363e-01 (6.8708e-01)	Loss Pred 7.6817e-01 (8.1381e-01)	Loss TOTAL 1.1724e+00 (1.2163e+00)
