Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [2][ 70/112]	L_Src_Sup 2.7782e-01 (2.0894e-01)	L_Trg_Inj 4.0756e-01 (3.2157e-01)	Loss Disc 6.9257e-01 (6.9307e-01)	Loss Pred 9.7961e-01 (9.6475e-01)	Loss TOTAL 1.3944e+00 (1.3703e+00)
Epoch: [2][ 80/112]	L_Src_Sup 1.3654e-01 (2.0737e-01)	L_Trg_Inj 3.3128e-01 (3.1823e-01)	Loss Disc 6.9212e-01 (6.9296e-01)	Loss Pred 9.4167e-01 (9.6368e-01)	Loss TOTAL 1.3345e+00 (1.3679e+00)
Epoch: [2][ 90/112]	L_Src_Sup 1.6970e-01 (2.0808e-01)	L_Trg_Inj 2.1611e-01 (3.1473e-01)	Loss Disc 6.9401e-01 (6.9300e-01)	Loss Pred 9.6529e-01 (9.6341e-01)	Loss TOTAL 1.3509e+00 (1.3687e+00)
Epoch: [2][100/112]	L_Src_Sup 1.9776e-01 (2.0599e-01)	L_Trg_Inj 2.6431e-01 (3.1013e-01)	Loss Disc 6.9381e-01 (6.9309e-01)	Loss Pred 9.3377e-01 (9.6329e-01)	Loss TOTAL 1.3269e+00 (1.3680e+00)
Epoch: [2][110/112]	L_Src_Sup 1.0663e-01 (2.0588e-01)	L_Trg_Inj 3.8098e-01 (3.0918e-01)	Loss Disc 6.9319e-01 (6.9312e-01)	Loss Pred 9.7553e-01 (9.6441e-01)	Loss TOTAL 1.3709e+00 (1.3692e+00)
Epoch: [2][112/112]	L_Src_Sup 1.3951e-01 (2.0545e-01)	L_Trg_Inj 2.8263e-01 (3.0929e-01)	Loss Disc 6.9316e-01 (6.9312e-01)	Loss Pred 9.8053e-01 (9.6488e-01)	Loss TOTAL 1.3693e+00 (1.3695e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/112]	L_Src_Sup 2.8046e-01 (2.2943e-01)	L_Trg_Inj 3.7101e-01 (3.0212e-01)	Loss Disc 6.9281e-01 (6.9299e-01)	Loss Pred 9.9028e-01 (9.6550e-01)	Loss TOTAL 1.4018e+00 (1.3691e+00)
Epoch: [3][ 20/112]	L_Src_Sup 2.0210e-01 (2.3055e-01)	L_Trg_Inj 4.0845e-01 (3.2873e-01)	Loss Disc 6.9282e-01 (6.9289e-01)	Loss Pred 1.0012e+00 (9.5944e-01)	Loss TOTAL 1.4087e+00 (1.3697e+00)
Epoch: [3][ 30/112]	L_Src_Sup 1.2708e-01 (2.1334e-01)	L_Trg_Inj 4.4656e-01 (3.3737e-01)	Loss Disc 6.9289e-01 (6.9289e-01)	Loss Pred 9.6818e-01 (9.6194e-01)	Loss TOTAL 1.3720e+00 (1.3688e+00)
