Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [3][ 60/112]	L_Src_Sup 1.4328e-01 (2.0039e-01)	L_Trg_Inj 3.7390e-01 (2.8995e-01)	Loss Disc 6.9147e-01 (6.9083e-01)	Loss Pred 5.8299e-01 (6.0158e-01)	Loss TOTAL 9.8044e-01 (1.0057e+00)
Epoch: [3][ 70/112]	L_Src_Sup 3.0192e-01 (2.0188e-01)	L_Trg_Inj 2.7999e-01 (2.9237e-01)	Loss Disc 6.9168e-01 (6.9092e-01)	Loss Pred 5.7135e-01 (5.9753e-01)	Loss TOTAL 9.9732e-01 (1.0022e+00)
Epoch: [3][ 80/112]	L_Src_Sup 2.7904e-01 (2.0298e-01)	L_Trg_Inj 4.2010e-01 (2.9440e-01)	Loss Disc 6.8985e-01 (6.9088e-01)	Loss Pred 5.5360e-01 (5.9529e-01)	Loss TOTAL 9.6844e-01 (1.0003e+00)
Epoch: [3][ 90/112]	L_Src_Sup 1.6111e-01 (2.0113e-01)	L_Trg_Inj 3.1058e-01 (2.9064e-01)	Loss Disc 6.9015e-01 (6.9090e-01)	Loss Pred 5.6685e-01 (5.9246e-01)	Loss TOTAL 9.5909e-01 (9.9692e-01)
Epoch: [3][100/112]	L_Src_Sup 6.8038e-02 (1.9856e-01)	L_Trg_Inj 1.7074e-01 (2.8832e-01)	Loss Disc 6.9624e-01 (6.9115e-01)	Loss Pred 5.3998e-01 (5.8977e-01)	Loss TOTAL 9.1198e-01 (9.9342e-01)
Epoch: [3][110/112]	L_Src_Sup 1.2540e-01 (1.9807e-01)	L_Trg_Inj 2.6443e-01 (2.8862e-01)	Loss Disc 6.9330e-01 (6.9123e-01)	Loss Pred 5.5643e-01 (5.8736e-01)	Loss TOTAL 9.4206e-01 (9.9023e-01)
Epoch: [3][112/112]	L_Src_Sup 2.7666e-01 (1.9868e-01)	L_Trg_Inj 2.9486e-01 (2.8901e-01)	Loss Disc 6.9301e-01 (6.9124e-01)	Loss Pred 5.3111e-01 (5.8685e-01)	Loss TOTAL 9.3477e-01 (9.8968e-01)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/112]	L_Src_Sup 9.1102e-02 (2.1051e-01)	L_Trg_Inj 2.6427e-01 (2.6539e-01)	Loss Disc 6.9214e-01 (6.9199e-01)	Loss Pred 5.6280e-01 (5.5291e-01)	Loss TOTAL 9.4440e-01 (9.6010e-01)
Epoch: [4][ 20/112]	L_Src_Sup 1.5968e-01 (2.0784e-01)	L_Trg_Inj 2.8022e-01 (2.8211e-01)	Loss Disc 6.9215e-01 (6.9166e-01)	Loss Pred 5.3940e-01 (5.4759e-01)	Loss TOTAL 9.2947e-01 (9.5027e-01)
Epoch: [4][ 30/112]	L_Src_Sup 1.0644e-01 (2.0528e-01)	L_Trg_Inj 2.8808e-01 (2.8748e-01)	Loss Disc 6.9196e-01 (6.9175e-01)	Loss Pred 5.3457e-01 (5.4726e-01)	Loss TOTAL 9.2001e-01 (9.4894e-01)
Epoch: [4][ 40/112]	L_Src_Sup 2.0400e-01 (2.0054e-01)	L_Trg_Inj 2.9394e-01 (2.8753e-01)	Loss Disc 6.9172e-01 (6.9179e-01)	Loss Pred 5.7723e-01 (5.4656e-01)	Loss TOTAL 9.7289e-01 (9.4615e-01)
Epoch: [4][ 50/112]	L_Src_Sup 1.7598e-01 (1.9573e-01)	L_Trg_Inj 2.8544e-01 (2.8764e-01)	Loss Disc 6.9081e-01 (6.9173e-01)	Loss Pred 5.1924e-01 (5.4282e-01)	Loss TOTAL 9.1079e-01 (9.4193e-01)
Epoch: [4][ 60/112]	L_Src_Sup 1.5168e-01 (1.9646e-01)	L_Trg_Inj 2.4930e-01 (2.8845e-01)	Loss Disc 6.8907e-01 (6.9153e-01)	Loss Pred 5.5715e-01 (5.4187e-01)	Loss TOTAL 9.4178e-01 (9.4069e-01)
Epoch: [4][ 70/112]	L_Src_Sup 2.9158e-01 (1.9527e-01)	L_Trg_Inj 2.9552e-01 (2.8772e-01)	Loss Disc 6.9352e-01 (6.9173e-01)	Loss Pred 5.3504e-01 (5.3998e-01)	Loss TOTAL 9.4051e-01 (9.3853e-01)
Epoch: [4][ 80/112]	L_Src_Sup 2.3042e-01 (1.9419e-01)	L_Trg_Inj 2.4782e-01 (2.8746e-01)	Loss Disc 6.9268e-01 (6.9163e-01)	Loss Pred 5.1251e-01 (5.3879e-01)	Loss TOTAL 9.0667e-01 (9.3661e-01)
Epoch: [4][ 90/112]	L_Src_Sup 2.6594e-01 (1.9407e-01)	L_Trg_Inj 2.4822e-01 (2.8650e-01)	Loss Disc 6.9290e-01 (6.9157e-01)	Loss Pred 5.0864e-01 (5.3631e-01)	Loss TOTAL 9.2423e-01 (9.3381e-01)
Epoch: [4][100/112]	L_Src_Sup 2.6348e-01 (1.9710e-01)	L_Trg_Inj 2.7970e-01 (2.8898e-01)	Loss Disc 6.9136e-01 (6.9161e-01)	Loss Pred 4.9812e-01 (5.3476e-01)	Loss TOTAL 8.9812e-01 (9.3310e-01)
Epoch: [4][110/112]	L_Src_Sup 2.3558e-01 (1.9590e-01)	L_Trg_Inj 3.1077e-01 (2.9051e-01)	Loss Disc 6.9124e-01 (6.9160e-01)	Loss Pred 4.6457e-01 (5.3082e-01)	Loss TOTAL 8.6482e-01 (9.2883e-01)
Epoch: [4][112/112]	L_Src_Sup 2.3289e-01 (1.9686e-01)	L_Trg_Inj 2.4865e-01 (2.8976e-01)	Loss Disc 6.9276e-01 (6.9162e-01)	Loss Pred 5.0611e-01 (5.3032e-01)	Loss TOTAL 9.0064e-01 (9.2846e-01)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/112]	L_Src_Sup 1.3816e-01 (1.6683e-01)	L_Trg_Inj 3.2588e-01 (2.8568e-01)	Loss Disc 6.9116e-01 (6.9181e-01)	Loss Pred 4.7893e-01 (4.9815e-01)	Loss TOTAL 8.7091e-01 (8.9280e-01)
Epoch: [5][ 20/112]	L_Src_Sup 2.6573e-01 (1.6232e-01)	L_Trg_Inj 1.9787e-01 (2.7881e-01)	Loss Disc 6.9255e-01 (6.9173e-01)	Loss Pred 4.9328e-01 (4.9681e-01)	Loss TOTAL 9.5378e-01 (8.9193e-01)
Epoch: [5][ 30/112]	L_Src_Sup 1.7725e-01 (1.7661e-01)	L_Trg_Inj 2.9172e-01 (2.8437e-01)	Loss Disc 6.8995e-01 (6.9144e-01)	Loss Pred 5.0894e-01 (4.9846e-01)	Loss TOTAL 9.0081e-01 (8.9371e-01)
Epoch: [5][ 40/112]	L_Src_Sup 1.7012e-01 (1.8394e-01)	L_Trg_Inj 2.8050e-01 (2.8608e-01)	Loss Disc 6.9196e-01 (6.9162e-01)	Loss Pred 4.5948e-01 (4.9793e-01)	Loss TOTAL 8.5052e-01 (8.9696e-01)
Epoch: [5][ 50/112]	L_Src_Sup 1.5819e-01 (1.8160e-01)	L_Trg_Inj 2.1781e-01 (2.8887e-01)	Loss Disc 6.9450e-01 (6.9150e-01)	Loss Pred 4.8100e-01 (5.0132e-01)	Loss TOTAL 8.6585e-01 (8.9909e-01)
Epoch: [5][ 60/112]	L_Src_Sup 1.5803e-01 (1.8059e-01)	L_Trg_Inj 2.9533e-01 (2.8538e-01)	Loss Disc 6.9041e-01 (6.9148e-01)	Loss Pred 4.8056e-01 (4.9991e-01)	Loss TOTAL 8.7110e-01 (8.9680e-01)
Epoch: [5][ 70/112]	L_Src_Sup 1.7260e-01 (1.8221e-01)	L_Trg_Inj 2.4802e-01 (2.9139e-01)	Loss Disc 6.9256e-01 (6.9143e-01)	Loss Pred 4.6780e-01 (4.9811e-01)	Loss TOTAL 8.5614e-01 (8.9550e-01)
Epoch: [5][ 80/112]	L_Src_Sup 2.3091e-01 (1.8537e-01)	L_Trg_Inj 2.4948e-01 (2.8986e-01)	Loss Disc 6.9218e-01 (6.9149e-01)	Loss Pred 4.8623e-01 (4.9771e-01)	Loss TOTAL 8.8035e-01 (8.9579e-01)
Epoch: [5][ 90/112]	L_Src_Sup 1.2766e-01 (1.8610e-01)	L_Trg_Inj 2.8151e-01 (2.8880e-01)	Loss Disc 6.9158e-01 (6.9151e-01)	Loss Pred 4.9709e-01 (4.9691e-01)	Loss TOTAL 8.8380e-01 (8.9620e-01)
Epoch: [5][100/112]	L_Src_Sup 2.1594e-01 (1.8791e-01)	L_Trg_Inj 2.9593e-01 (2.8896e-01)	Loss Disc 6.9207e-01 (6.9154e-01)	Loss Pred 4.9075e-01 (4.9707e-01)	Loss TOTAL 8.8797e-01 (8.9685e-01)
Epoch: [5][110/112]	L_Src_Sup 2.4106e-01 (1.8849e-01)	L_Trg_Inj 3.7148e-01 (2.9143e-01)	Loss Disc 6.9094e-01 (6.9152e-01)	Loss Pred 5.1499e-01 (4.9636e-01)	Loss TOTAL 9.2171e-01 (8.9587e-01)
Epoch: [5][112/112]	L_Src_Sup 1.8839e-01 (1.8811e-01)	L_Trg_Inj 2.6250e-01 (2.9078e-01)	Loss Disc 6.9184e-01 (6.9154e-01)	Loss Pred 4.5992e-01 (4.9609e-01)	Loss TOTAL 8.5093e-01 (8.9540e-01)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/112]	L_Src_Sup 2.5055e-01 (2.5950e-01)	L_Trg_Inj 2.1809e-01 (2.6760e-01)	Loss Disc 6.9248e-01 (6.9243e-01)	Loss Pred 5.0917e-01 (4.9629e-01)	Loss TOTAL 9.3474e-01 (9.1787e-01)
Epoch: [6][ 20/112]	L_Src_Sup 1.4054e-01 (2.2270e-01)	L_Trg_Inj 2.1818e-01 (2.5930e-01)	Loss Disc 6.9226e-01 (6.9209e-01)	Loss Pred 4.7790e-01 (4.9270e-01)	Loss TOTAL 8.5990e-01 (9.0577e-01)
Epoch: [6][ 30/112]	L_Src_Sup 2.7561e-01 (2.1288e-01)	L_Trg_Inj 2.8053e-01 (2.7050e-01)	Loss Disc 6.9021e-01 (6.9150e-01)	Loss Pred 5.0843e-01 (4.9375e-01)	Loss TOTAL 9.0915e-01 (9.0118e-01)
Epoch: [6][ 40/112]	L_Src_Sup 2.9643e-01 (2.0991e-01)	L_Trg_Inj 3.0719e-01 (2.7798e-01)	Loss Disc 6.9312e-01 (6.9216e-01)	Loss Pred 4.7133e-01 (4.9458e-01)	Loss TOTAL 8.7825e-01 (8.9945e-01)
Epoch: [6][ 50/112]	L_Src_Sup 2.6992e-01 (2.0956e-01)	L_Trg_Inj 2.1818e-01 (2.8700e-01)	Loss Disc 6.9521e-01 (6.9200e-01)	Loss Pred 4.4577e-01 (4.9314e-01)	Loss TOTAL 8.9392e-01 (8.9850e-01)
Epoch: [6][ 60/112]	L_Src_Sup 1.8539e-01 (2.1066e-01)	L_Trg_Inj 1.7148e-01 (2.8047e-01)	Loss Disc 6.9375e-01 (6.9211e-01)	Loss Pred 5.1322e-01 (4.9222e-01)	Loss TOTAL 9.0969e-01 (8.9829e-01)
Epoch: [6][ 70/112]	L_Src_Sup 1.9489e-01 (2.0569e-01)	L_Trg_Inj 3.1171e-01 (2.8315e-01)	Loss Disc 6.9182e-01 (6.9213e-01)	Loss Pred 5.1411e-01 (4.9361e-01)	Loss TOTAL 9.1068e-01 (8.9849e-01)
Epoch: [6][ 80/112]	L_Src_Sup 2.5538e-01 (2.0691e-01)	L_Trg_Inj 2.4951e-01 (2.8225e-01)	Loss Disc 6.9194e-01 (6.9211e-01)	Loss Pred 4.5122e-01 (4.9064e-01)	Loss TOTAL 8.5355e-01 (8.9473e-01)
Epoch: [6][ 90/112]	L_Src_Sup 2.4377e-01 (2.0456e-01)	L_Trg_Inj 2.4905e-01 (2.8207e-01)	Loss Disc 6.9218e-01 (6.9211e-01)	Loss Pred 4.6969e-01 (4.9045e-01)	Loss TOTAL 8.6506e-01 (8.9328e-01)
