Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.433720529987505, std[0]=0.22055395733663094)
Loading Target Train...
Epoch: [2][ 80/112]	L_Src_Sup 2.8565e-01 (2.2611e-01)	L_Trg_Inj 3.9760e-01 (4.0980e-01)	Loss Disc 6.8628e-01 (6.8624e-01)	Loss Pred 1.0585e+00 (1.1191e+00)	Loss TOTAL 1.4700e+00 (1.5523e+00)
Epoch: [2][ 90/112]	L_Src_Sup 3.0788e-01 (2.2303e-01)	L_Trg_Inj 4.7653e-01 (4.1240e-01)	Loss Disc 6.8056e-01 (6.8577e-01)	Loss Pred 1.0541e+00 (1.1121e+00)	Loss TOTAL 1.4728e+00 (1.5428e+00)
Epoch: [2][100/112]	L_Src_Sup 2.8676e-01 (2.2549e-01)	L_Trg_Inj 4.3564e-01 (4.1739e-01)	Loss Disc 6.8315e-01 (6.8553e-01)	Loss Pred 1.0403e+00 (1.1053e+00)	Loss TOTAL 1.4541e+00 (1.5344e+00)
Epoch: [2][110/112]	L_Src_Sup 2.1049e-01 (2.2552e-01)	L_Trg_Inj 3.0512e-01 (4.1611e-01)	Loss Disc 6.8710e-01 (6.8546e-01)	Loss Pred 1.0252e+00 (1.0986e+00)	Loss TOTAL 1.4203e+00 (1.5258e+00)
Epoch: [2][112/112]	L_Src_Sup 0.0000e+00 (2.2261e-01)	L_Trg_Inj 3.7606e-01 (4.1545e-01)	Loss Disc 6.8566e-01 (6.8547e-01)	Loss Pred 1.0236e+00 (1.0973e+00)	Loss TOTAL 1.4041e+00 (1.5237e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/112]	L_Src_Sup 1.9821e-01 (2.5680e-01)	L_Trg_Inj 4.8034e-01 (3.6181e-01)	Loss Disc 6.8606e-01 (6.8787e-01)	Loss Pred 1.0113e+00 (1.0181e+00)	Loss TOTAL 1.4222e+00 (1.4451e+00)
Epoch: [3][ 20/112]	L_Src_Sup 1.1110e-01 (2.3481e-01)	L_Trg_Inj 4.4813e-01 (3.6166e-01)	Loss Disc 6.8745e-01 (6.8800e-01)	Loss Pred 1.0000e+00 (1.0121e+00)	Loss TOTAL 1.3997e+00 (1.4375e+00)
Epoch: [3][ 30/112]	L_Src_Sup 1.1761e-01 (2.0293e-01)	L_Trg_Inj 4.6293e-01 (3.8861e-01)	Loss Disc 6.8622e-01 (6.8763e-01)	Loss Pred 9.8869e-01 (1.0061e+00)	Loss TOTAL 1.3899e+00 (1.4236e+00)
Epoch: [3][ 40/112]	L_Src_Sup 1.9995e-01 (1.8923e-01)	L_Trg_Inj 1.9918e-01 (3.6956e-01)	Loss Disc 6.8908e-01 (6.8768e-01)	Loss Pred 9.7729e-01 (1.0004e+00)	Loss TOTAL 1.3625e+00 (1.4110e+00)
Epoch: [3][ 50/112]	L_Src_Sup 8.3115e-02 (2.0214e-01)	L_Trg_Inj 4.7724e-01 (3.8812e-01)	Loss Disc 6.8443e-01 (6.8791e-01)	Loss Pred 9.6901e-01 (9.9471e-01)	Loss TOTAL 1.3673e+00 (1.4133e+00)
Epoch: [3][ 60/112]	L_Src_Sup 2.5032e-01 (2.0682e-01)	L_Trg_Inj 3.5104e-01 (3.9292e-01)	Loss Disc 6.9128e-01 (6.8802e-01)	Loss Pred 9.5497e-01 (9.8891e-01)	Loss TOTAL 1.3607e+00 (1.4063e+00)
Epoch: [3][ 70/112]	L_Src_Sup 1.3304e-01 (2.0653e-01)	L_Trg_Inj 4.7289e-01 (4.0082e-01)	Loss Disc 6.8767e-01 (6.8800e-01)	Loss Pred 9.4329e-01 (9.8310e-01)	Loss TOTAL 1.3477e+00 (1.4001e+00)
Epoch: [3][ 80/112]	L_Src_Sup 0.0000e+00 (2.1034e-01)	L_Trg_Inj 6.0398e-01 (4.0534e-01)	Loss Disc 6.8525e-01 (6.8799e-01)	Loss Pred 9.3074e-01 (9.7750e-01)	Loss TOTAL 1.3338e+00 (1.3963e+00)
Epoch: [3][ 90/112]	L_Src_Sup 0.0000e+00 (2.0981e-01)	L_Trg_Inj 4.1935e-01 (4.1323e-01)	Loss Disc 6.8992e-01 (6.8801e-01)	Loss Pred 9.2276e-01 (9.7194e-01)	Loss TOTAL 1.3097e+00 (1.3906e+00)
Epoch: [3][100/112]	L_Src_Sup 2.1605e-01 (2.0887e-01)	L_Trg_Inj 4.5803e-01 (4.1137e-01)	Loss Disc 6.8926e-01 (6.8827e-01)	Loss Pred 9.0459e-01 (9.6643e-01)	Loss TOTAL 1.3166e+00 (1.3844e+00)
Epoch: [3][110/112]	L_Src_Sup 0.0000e+00 (2.0691e-01)	L_Trg_Inj 5.3236e-01 (4.1801e-01)	Loss Disc 6.8742e-01 (6.8833e-01)	Loss Pred 9.0238e-01 (9.6114e-01)	Loss TOTAL 1.2993e+00 (1.3785e+00)
Epoch: [3][112/112]	L_Src_Sup 3.3336e-01 (2.0713e-01)	L_Trg_Inj 6.1465e-01 (4.1952e-01)	Loss Disc 6.8459e-01 (6.8831e-01)	Loss Pred 8.9482e-01 (9.6005e-01)	Loss TOTAL 1.3319e+00 (1.3774e+00)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/112]	L_Src_Sup 1.1283e-01 (2.4641e-01)	L_Trg_Inj 4.5120e-01 (4.2652e-01)	Loss Disc 6.8949e-01 (6.8972e-01)	Loss Pred 8.9319e-01 (8.9452e-01)	Loss TOTAL 1.2943e+00 (1.3213e+00)
Epoch: [4][ 20/112]	L_Src_Sup 4.0103e-01 (2.0542e-01)	L_Trg_Inj 5.6561e-01 (4.2333e-01)	Loss Disc 6.8844e-01 (6.8996e-01)	Loss Pred 8.7952e-01 (8.8887e-01)	Loss TOTAL 1.3204e+00 (1.3119e+00)
Epoch: [4][ 30/112]	L_Src_Sup 1.3335e-01 (2.2408e-01)	L_Trg_Inj 4.2428e-01 (4.3124e-01)	Loss Disc 6.9054e-01 (6.9007e-01)	Loss Pred 8.6862e-01 (8.8449e-01)	Loss TOTAL 1.2697e+00 (1.3052e+00)
Epoch: [4][ 40/112]	L_Src_Sup 5.5712e-01 (2.2107e-01)	L_Trg_Inj 4.0101e-01 (4.2023e-01)	Loss Disc 6.9028e-01 (6.9044e-01)	Loss Pred 8.6428e-01 (8.7968e-01)	Loss TOTAL 1.4613e+00 (1.3076e+00)
Epoch: [4][ 50/112]	L_Src_Sup 0.0000e+00 (2.4692e-01)	L_Trg_Inj 3.5126e-01 (4.2746e-01)	Loss Disc 6.9058e-01 (6.9049e-01)	Loss Pred 8.4894e-01 (8.7448e-01)	Loss TOTAL 1.2294e+00 (1.3217e+00)
Epoch: [4][ 60/112]	L_Src_Sup 1.9161e-01 (2.4471e-01)	L_Trg_Inj 4.1747e-01 (4.2761e-01)	Loss Disc 6.8704e-01 (6.8997e-01)	Loss Pred 8.5312e-01 (8.7044e-01)	Loss TOTAL 1.2575e+00 (1.3169e+00)
Epoch: [4][ 70/112]	L_Src_Sup 3.1554e-01 (2.4000e-01)	L_Trg_Inj 5.7433e-01 (4.3586e-01)	Loss Disc 6.8337e-01 (6.8930e-01)	Loss Pred 8.3722e-01 (8.6575e-01)	Loss TOTAL 1.2679e+00 (1.3074e+00)
Epoch: [4][ 80/112]	L_Src_Sup 0.0000e+00 (2.3810e-01)	L_Trg_Inj 2.9710e-01 (4.3165e-01)	Loss Disc 6.9039e-01 (6.8914e-01)	Loss Pred 8.2075e-01 (8.6137e-01)	Loss TOTAL 1.1957e+00 (1.2992e+00)
Epoch: [4][ 90/112]	L_Src_Sup 4.0121e-01 (2.3339e-01)	L_Trg_Inj 4.4693e-01 (4.2931e-01)	Loss Disc 6.8853e-01 (6.8906e-01)	Loss Pred 8.1182e-01 (8.5649e-01)	Loss TOTAL 1.2409e+00 (1.2937e+00)
Epoch: [4][100/112]	L_Src_Sup 3.0786e-01 (2.2862e-01)	L_Trg_Inj 3.5049e-01 (4.2283e-01)	Loss Disc 6.8793e-01 (6.8913e-01)	Loss Pred 7.9723e-01 (8.5204e-01)	Loss TOTAL 1.2070e+00 (1.2855e+00)
Epoch: [4][110/112]	L_Src_Sup 6.6999e-01 (2.3087e-01)	L_Trg_Inj 5.2715e-01 (4.2226e-01)	Loss Disc 6.8944e-01 (6.8917e-01)	Loss Pred 7.7580e-01 (8.4663e-01)	Loss TOTAL 1.3831e+00 (1.2836e+00)
Epoch: [4][112/112]	L_Src_Sup 2.5133e-01 (2.2908e-01)	L_Trg_Inj 4.5224e-01 (4.2288e-01)	Loss Disc 6.8891e-01 (6.8916e-01)	Loss Pred 7.9539e-01 (8.4570e-01)	Loss TOTAL 1.2102e+00 (1.2820e+00)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/112]	L_Src_Sup 5.0169e-01 (2.3405e-01)	L_Trg_Inj 4.1016e-01 (4.6480e-01)	Loss Disc 6.9074e-01 (6.8878e-01)	Loss Pred 7.7358e-01 (7.8704e-01)	Loss TOTAL 1.3017e+00 (1.2105e+00)
Epoch: [5][ 20/112]	L_Src_Sup 1.3354e-01 (1.9803e-01)	L_Trg_Inj 4.6473e-01 (4.4432e-01)	Loss Disc 6.8828e-01 (6.8905e-01)	Loss Pred 7.7456e-01 (7.8269e-01)	Loss TOTAL 1.1785e+00 (1.1960e+00)
Epoch: [5][ 30/112]	L_Src_Sup 0.0000e+00 (1.9785e-01)	L_Trg_Inj 2.8751e-01 (4.2283e-01)	Loss Disc 6.9302e-01 (6.8958e-01)	Loss Pred 7.6266e-01 (7.7967e-01)	Loss TOTAL 1.1379e+00 (1.1905e+00)
Epoch: [5][ 40/112]	L_Src_Sup 0.0000e+00 (1.9272e-01)	L_Trg_Inj 3.6002e-01 (4.2482e-01)	Loss Disc 6.9204e-01 (6.8979e-01)	Loss Pred 7.3664e-01 (7.7553e-01)	Loss TOTAL 1.1187e+00 (1.1880e+00)
